src,dst,idx,date
38,27,0.0439560439560439,08/22/2021
38,30,0.0219780219780219,08/22/2021
38,31,0.0549450549450549,08/22/2021
38,34,0.0219780219780219,08/22/2021
38,39,0.0329670329670329,08/22/2021
38,48,0.0109890109890109,08/22/2021
38,49,0.0109890109890109,08/22/2021
38,52,0.0329670329670329,08/22/2021
38,54,0.0109890109890109,08/22/2021
38,56,0.0109890109890109,08/22/2021
38,60,0.0549450549450549,08/22/2021
38,62,0.0109890109890109,08/22/2021
39,1,0.0129870129870129,08/22/2021
39,4,0.0281385281385281,08/22/2021
39,8,0.0259740259740259,08/22/2021
39,9,0.0129870129870129,08/22/2021
39,16,0.132034632034632,08/22/2021
39,21,0.0281385281385281,08/22/2021
39,27,0.0779220779220779,08/22/2021
39,30,0.0173160173160173,08/22/2021
39,34,0.0562770562770562,08/22/2021
39,35,0.0108225108225108,08/22/2021
39,36,0.0259740259740259,08/22/2021
39,42,0.0108225108225108,08/22/2021
39,57,0.0173160173160173,08/22/2021
40,7,0.0384615384615384,08/22/2021
40,8,0.1538461538461538,08/22/2021
40,14,0.0384615384615384,08/22/2021
40,20,0.0384615384615384,08/22/2021
40,30,0.0384615384615384,08/22/2021
40,34,0.0769230769230769,08/22/2021
40,36,0.0384615384615384,08/22/2021
40,59,0.0384615384615384,08/22/2021
40,60,0.0384615384615384,08/22/2021
41,8,0.0158730158730158,08/22/2021
41,9,0.0158730158730158,08/22/2021
41,10,0.0317460317460317,08/22/2021
41,16,0.0317460317460317,08/22/2021
41,17,0.0158730158730158,08/22/2021
41,20,0.0634920634920634,08/22/2021
41,30,0.0158730158730158,08/22/2021
41,31,0.0158730158730158,08/22/2021
41,32,0.0158730158730158,08/22/2021
41,33,0.0158730158730158,08/22/2021
41,34,0.0158730158730158,08/22/2021
41,36,0.1587301587301587,08/22/2021
41,39,0.0158730158730158,08/22/2021
41,40,0.0158730158730158,08/22/2021
41,59,0.0158730158730158,08/22/2021
41,61,0.0476190476190476,08/22/2021
42,0,0.0116279069767441,08/22/2021
42,7,0.0232558139534883,08/22/2021
42,8,0.0232558139534883,08/22/2021
42,9,0.0581395348837209,08/22/2021
42,12,0.0116279069767441,08/22/2021
42,15,0.0581395348837209,08/22/2021
42,16,0.0348837209302325,08/22/2021
42,23,0.0116279069767441,08/22/2021
42,27,0.0348837209302325,08/22/2021
42,29,0.0116279069767441,08/22/2021
42,31,0.0116279069767441,08/22/2021
42,34,0.0930232558139534,08/22/2021
42,36,0.0232558139534883,08/22/2021
42,39,0.0581395348837209,08/22/2021
42,40,0.0348837209302325,08/22/2021
42,54,0.0116279069767441,08/22/2021
42,55,0.0116279069767441,08/22/2021
42,57,0.0232558139534883,08/22/2021
42,59,0.0116279069767441,08/22/2021
43,2,0.0120481927710843,08/22/2021
43,8,0.0120481927710843,08/22/2021
43,16,0.0963855421686747,08/22/2021
43,25,0.0602409638554216,08/22/2021
43,27,0.0120481927710843,08/22/2021
43,28,0.0240963855421686,08/22/2021
43,35,0.1204819277108433,08/22/2021
43,37,0.0120481927710843,08/22/2021
43,51,0.108433734939759,08/22/2021
43,52,0.0602409638554216,08/22/2021
44,9,0.018018018018018,08/22/2021
44,16,0.0990990990990991,08/22/2021
44,25,0.1126126126126126,08/22/2021
44,27,0.045045045045045,08/22/2021
44,28,0.045045045045045,08/22/2021
44,31,0.0225225225225225,08/22/2021
44,34,0.0225225225225225,08/22/2021
44,35,0.0135135135135135,08/22/2021
44,47,0.0225225225225225,08/22/2021
44,51,0.0225225225225225,08/22/2021
44,52,0.0855855855855855,08/22/2021
44,54,0.027027027027027,08/22/2021
45,16,0.125,08/22/2021
45,31,0.09375,08/22/2021
45,35,0.03125,08/22/2021
45,52,0.34375,08/22/2021
46,2,0.0886075949367088,08/22/2021
46,6,0.0126582278481012,08/22/2021
46,16,0.1518987341772152,08/22/2021
46,23,0.0126582278481012,08/22/2021
46,25,0.0253164556962025,08/22/2021
46,27,0.050632911392405,08/22/2021
46,28,0.0379746835443038,08/22/2021
46,31,0.0126582278481012,08/22/2021
46,35,0.0253164556962025,08/22/2021
46,36,0.0253164556962025,08/22/2021
46,44,0.0379746835443038,08/22/2021
46,47,0.0759493670886076,08/22/2021
46,49,0.0126582278481012,08/22/2021
46,52,0.0126582278481012,08/22/2021
46,54,0.0253164556962025,08/22/2021
46,58,0.0126582278481012,08/22/2021
46,60,0.0126582278481012,08/22/2021
47,2,0.0333333333333333,08/22/2021
47,11,0.0166666666666666,08/22/2021
47,16,0.0916666666666666,08/22/2021
47,25,0.05,08/22/2021
47,27,0.0416666666666666,08/22/2021
47,31,0.0166666666666666,08/22/2021
47,35,0.025,08/22/2021
47,44,0.0833333333333333,08/22/2021
47,46,0.025,08/22/2021
47,51,0.0166666666666666,08/22/2021
47,52,0.0666666666666666,08/22/2021
48,0,0.0474137931034482,08/22/2021
48,9,0.0344827586206896,08/22/2021
48,16,0.0775862068965517,08/22/2021
48,19,0.021551724137931,08/22/2021
48,26,0.0129310344827586,08/22/2021
48,27,0.1810344827586207,08/22/2021
48,34,0.0344827586206896,08/22/2021
48,35,0.0258620689655172,08/22/2021
48,36,0.0172413793103448,08/22/2021
48,38,0.0129310344827586,08/22/2021
48,39,0.0344827586206896,08/22/2021
48,49,0.0258620689655172,08/22/2021
48,51,0.0129310344827586,08/22/2021
49,0,0.0239520958083832,08/22/2021
49,16,0.0658682634730539,08/22/2021
49,22,0.0479041916167664,08/22/2021
49,23,0.0179640718562874,08/22/2021
49,25,0.0179640718562874,08/22/2021
49,27,0.2754491017964072,08/22/2021
49,35,0.0239520958083832,08/22/2021
49,36,0.0119760479041916,08/22/2021
49,37,0.0119760479041916,08/22/2021
49,39,0.0239520958083832,08/22/2021
49,44,0.0119760479041916,08/22/2021
49,50,0.0119760479041916,08/22/2021
49,51,0.0179640718562874,08/22/2021
49,56,0.0179640718562874,08/22/2021
50,3,0.0231213872832369,08/22/2021
50,8,0.0115606936416184,08/22/2021
50,16,0.1156069364161849,08/22/2021
50,22,0.0462427745664739,08/22/2021
50,25,0.0173410404624277,08/22/2021
50,27,0.1040462427745664,08/22/2021
50,28,0.0751445086705202,08/22/2021
50,38,0.0115606936416184,08/22/2021
50,39,0.0173410404624277,08/22/2021
50,49,0.0115606936416184,08/22/2021
50,52,0.0173410404624277,08/22/2021
50,54,0.0462427745664739,08/22/2021
50,56,0.0115606936416184,08/22/2021
51,16,0.2034174125305126,08/22/2021
51,25,0.0301057770545158,08/22/2021
51,27,0.0561432058584214,08/22/2021
51,35,0.0431244914564686,08/22/2021
51,52,0.0561432058584214,08/22/2021
51,58,0.0122050447518307,08/22/2021
52,2,0.013262599469496,08/22/2021
52,16,0.0928381962864721,08/22/2021
52,25,0.0318302387267904,08/22/2021
52,27,0.0159151193633952,08/22/2021
52,28,0.0212201591511936,08/22/2021
52,31,0.0716180371352785,08/22/2021
52,35,0.0106100795755968,08/22/2021
52,45,0.0238726790450928,08/22/2021
52,51,0.0822281167108753,08/22/2021
52,58,0.0106100795755968,08/22/2021
53,12,0.0344827586206896,08/22/2021
53,14,0.0689655172413793,08/22/2021
53,16,0.1034482758620689,08/22/2021
53,18,0.0344827586206896,08/22/2021
53,20,0.0689655172413793,08/22/2021
53,30,0.0344827586206896,08/22/2021
53,32,0.0689655172413793,08/22/2021
53,36,0.1379310344827586,08/22/2021
53,39,0.0344827586206896,08/22/2021
53,41,0.0689655172413793,08/22/2021
54,9,0.0138504155124653,08/22/2021
54,16,0.113573407202216,08/22/2021
54,22,0.0110803324099723,08/22/2021
54,25,0.0249307479224376,08/22/2021
54,27,0.0470914127423822,08/22/2021
54,28,0.1966759002770083,08/22/2021
54,35,0.0138504155124653,08/22/2021
54,50,0.0221606648199446,08/22/2021
54,52,0.0110803324099723,08/22/2021
55,7,0.0273972602739726,08/22/2021
55,8,0.0136986301369863,08/22/2021
55,16,0.0136986301369863,08/22/2021
55,24,0.0136986301369863,08/22/2021
55,27,0.0136986301369863,08/22/2021
55,30,0.0547945205479452,08/22/2021
55,33,0.0410958904109589,08/22/2021
55,36,0.136986301369863,08/22/2021
55,40,0.0136986301369863,08/22/2021
55,41,0.0136986301369863,08/22/2021
55,48,0.0136986301369863,08/22/2021
55,51,0.0273972602739726,08/22/2021
56,0,0.027027027027027,08/22/2021
56,9,0.027027027027027,08/22/2021
56,11,0.0135135135135135,08/22/2021
56,14,0.0135135135135135,08/22/2021
56,16,0.063063063063063,08/22/2021
56,19,0.0135135135135135,08/22/2021
56,22,0.045045045045045,08/22/2021
56,26,0.018018018018018,08/22/2021
56,27,0.2207207207207207,08/22/2021
56,28,0.018018018018018,08/22/2021
56,36,0.0135135135135135,08/22/2021
56,37,0.018018018018018,08/22/2021
56,39,0.018018018018018,08/22/2021
56,42,0.0135135135135135,08/22/2021
56,49,0.0135135135135135,08/22/2021
57,1,0.0196850393700787,08/22/2021
57,5,0.0590551181102362,08/22/2021
57,9,0.0196850393700787,08/22/2021
57,16,0.0236220472440944,08/22/2021
57,27,0.0196850393700787,08/22/2021
57,28,0.0118110236220472,08/22/2021
57,34,0.0433070866141732,08/22/2021
57,39,0.0354330708661417,08/22/2021
57,42,0.0354330708661417,08/22/2021
57,52,0.0118110236220472,08/22/2021
58,9,0.0151515151515151,08/22/2021
58,16,0.0833333333333333,08/22/2021
58,25,0.0378787878787878,08/22/2021
58,27,0.0378787878787878,08/22/2021
58,28,0.0227272727272727,08/22/2021
58,31,0.0454545454545454,08/22/2021
58,34,0.0227272727272727,08/22/2021
58,46,0.0151515151515151,08/22/2021
58,51,0.0984848484848484,08/22/2021
58,52,0.0984848484848484,08/22/2021
59,6,0.016260162601626,08/22/2021
59,7,0.1300813008130081,08/22/2021
