nidx,fips,date,precipitation,wind_gust,elevation,population
14,29,09/05/2021,0.29,24.2,52,19259
14,29,09/06/2021,0.53,0.0,52,19259
14,29,09/07/2021,0.0,0.0,52,19259
14,29,09/08/2021,0.0,0.0,52,19259
14,29,09/09/2021,0.0,18.7,52,19259
14,29,09/10/2021,0.0,17.0,52,19259
14,29,09/11/2021,0.0,17.2,52,19259
14,29,09/12/2021,0.0,23.0,52,19259
14,29,09/13/2021,0.01,0.0,52,19259
14,29,09/14/2021,0.91,26.4,52,19259
14,29,09/15/2021,3.2,34.4,52,19259
14,29,09/16/2021,0.07,0.0,52,19259
14,29,09/17/2021,0.01,17.2,52,19259
14,29,09/18/2021,0.09,0.0,52,19259
14,29,09/19/2021,0.51,0.0,52,19259
14,29,09/20/2021,0.14,0.0,52,19259
14,29,09/21/2021,0.48,33.3,52,19259
14,29,09/22/2021,0.01,26.4,52,19259
14,29,09/23/2021,0.0,0.0,52,19259
14,29,09/24/2021,0.0,0.0,52,19259
14,29,09/25/2021,0.0,0.0,52,19259
14,29,09/26/2021,0.0,0.0,52,19259
14,29,09/27/2021,0.0,0.0,52,19259
15,31,08/22/2021,0.0,0.0,308,27463
15,31,08/23/2021,0.0,0.0,308,27463
15,31,08/24/2021,0.0,0.0,308,27463
15,31,08/25/2021,0.11,0.0,308,27463
15,31,08/26/2021,0.0,0.0,308,27463
15,31,08/27/2021,0.0,17.2,308,27463
15,31,08/28/2021,0.24,32.2,308,27463
15,31,08/29/2021,0.25,33.3,308,27463
15,31,08/30/2021,0.0,23.0,308,27463
15,31,08/31/2021,0.05,17.2,308,27463
15,31,09/01/2021,0.0,23.0,308,27463
15,31,09/02/2021,0.0,0.0,308,27463
15,31,09/03/2021,0.0,0.0,308,27463
15,31,09/04/2021,0.0,0.0,308,27463
15,31,09/05/2021,0.04,16.1,308,27463
15,31,09/06/2021,0.0,18.3,308,27463
15,31,09/07/2021,0.0,18.3,308,27463
15,31,09/08/2021,0.0,0.0,308,27463
15,31,09/09/2021,0.0,25.8,308,27463
15,31,09/10/2021,0.0,0.0,308,27463
15,31,09/11/2021,0.0,0.0,308,27463
15,31,09/12/2021,0.0,20.8,308,27463
